Настройка справочников в модуле Сотрудник (Парус) в ЭУ,59,"настройка 9, справочников 9, справочники 9, справочник 9, модуле 9, сотрудник 9, парус 9, эу 8, электронный 7, университет 7, конфигурация 8"
Мониторинг работы web-камер,,
Плохое качество изображения,60,"web 7, камера 9, камеру 9, плохое 8, качество 10, изображения 10, видео 8"
Отсутствует изображение (черный экран),61,"отсутствует 9, изображение 9, черный 8, экран 8, web 7, камеры 9, камера 9, видео 8"
Подключение к камерам в аудиториях,62,"подключение 9, камерам 9, аудиториях 9, видеокамеры 9, камеры 10, камерам 10, доступ 10, система 8, аудитории 8, сеть 7, доступ 7"
Мультимедийное оборудование,,
Не работает,63,"мультимедийное 9, оборудование 9, не работает 8, техника 7, мультимедиа 8, аппаратура 8, аудио 8, видео 8, техническая 7"
Подключение и настройка установленного оборудования,64,"подключение 9, настройка 9, установленного 8, мультимедийного 9, оборудования 9, системы 8, аппаратуры 8, подключение 9, настройка 9, устройство 8"
Предоставление и настройка оборудования без технического сопровождения мероприятия (П),65,"предоставление 9, настройка 9, оборудования 9, без технического 7, сопровождения 7, мероприятия 8, установка 8"
Предоставление и настройка оборудования с техническим сопровождением мероприятия (П),66,"предоставление 9, настройка 9, оборудования 9, с техническим 8, сопровождением 8, мероприятия 8, поддержка 8, установка 8, техническое 8"
Проведение видеоконференции (П),67,"проведение 9, видеоконференции 9, конференц-связи 8, онлайн-встреча 8, вебинар 8, встреча 8, совещание 8"
Закупка мультимедийного оборудования (П),68,"закупка 9, мультимедийного 9, оборудования 9, техника 7, аппаратура 8, закупки 9, оборудование 9, приобретение 8"
Инструктаж пользователей работе с мультимедийным оборудованием,69,"инструктаж 9, пользователей 9, работе 8, мультимедийным 9, оборудованием 9, обучение 8, пользованию 8, инструкции 8, обучение 8, руководство 8"
Составление дефектной ведомости для мультимедийного оборудования,70,"составление 9, дефектной 8, ведомости 9, мультимедийного 9, оборудования 9, дефекты 8, составить 8"
Портал www.kpfu.ru,,
Ошибка в работе портала,71,"ошибка 9, работе 7, портала 9, www.kpfu.ru 10, kpfu.ru 10, сайта 8, доступа 7, недоступность 8, страницы 7"
